Student_ID,GPA,IELTS,Research_Exp,Subject_Pref,ECA_Type,ECA_Level,Family_Income_USD,Budget_USD,Preferred_Country,Match_Success,arts,business,computer_science,engineering,medicine
S001,3.06,8.0,0,arts,Leadership,2,138004,59149,United Kingdom,1,1,0,0,0,0
S002,3.93,5.5,1,business,Professional,5,81449,39544,Germany,0,0,1,0,0,0
S003,3.6,5.5,0,medicine,STEM,0,13556,51976,Germany,0,0,0,0,0,1
S004,3.4,5.5,0,engineering,Sports,4,91836,34252,United Kingdom,0,0,0,0,1,0
S005,2.73,7.5,1,engineering,STEM,4,141570,5832,Australia,0,0,0,0,1,0
S006,2.73,7.0,0,business,Sports,4,55098,27275,United States,0,0,1,0,0,0
S007,2.59,7.5,0,arts,Professional,5,117169,16901,United Kingdom,0,1,0,0,0,0
S008,3.8,7.0,0,computer science,STEM,4,145641,40213,United Kingdom,1,0,0,1,0,0
S009,3.4,7.5,0,business,Arts,1,131060,36148,United Kingdom,1,0,1,0,0,0
S010,3.56,7.5,0,business,Sports,3,135544,44633,Germany,1,0,1,0,0,0
S011,2.53,8.0,1,medicine,Arts,3,5340,24918,Canada,0,0,0,0,0,1
S012,3.95,6.5,0,engineering,STEM,5,87302,48694,United States,1,0,0,0,1,0
S013,3.75,7.5,0,business,Arts,1,5138,21540,Australia,1,0,1,0,0,0
S014,2.82,8.0,0,business,Arts,2,136430,13580,Australia,0,0,1,0,0,0
S015,2.77,6.0,0,arts,STEM,2,124619,55459,Canada,0,1,0,0,0,0
S016,2.78,6.5,1,arts,Professional,4,90376,40402,United Kingdom,0,1,0,0,0,0
S017,2.96,7.5,0,computer science,Arts,0,104931,59727,United States,0,0,0,1,0,0
S018,3.29,5.5,0,medicine,Arts,2,86532,40578,Australia,0,0,0,0,0,1
S019,3.15,6.0,1,computer science,Professional,0,60778,26917,Australia,0,0,0,1,0,0
S020,2.94,6.0,0,arts,Arts,3,42772,24318,United Kingdom,0,1,0,0,0,0
S021,3.42,8.0,0,engineering,Arts,0,63478,12179,Canada,0,0,0,0,1,0
S022,2.71,6.0,0,arts,Arts,3,31762,14251,United States,0,1,0,0,0,0
S023,2.94,6.5,0,medicine,Leadership,1,149355,47899,Canada,0,0,0,0,0,1
S024,3.05,7.5,0,arts,Professional,1,60568,21493,Canada,0,1,0,0,0,0
S025,3.18,7.5,0,medicine,Arts,5,90090,22466,United States,0,0,0,0,0,1
S026,3.68,5.5,1,medicine,Professional,5,25219,32206,United States,0,0,0,0,0,1
S027,2.8,8.0,0,medicine,Sports,4,62169,47475,Australia,0,0,0,0,0,1
S028,3.27,5.5,0,medicine,Sports,2,79965,21624,Australia,0,0,0,0,0,1
S029,3.39,6.0,0,medicine,Arts,4,89754,28564,United States,0,0,0,0,0,1
S030,2.57,5.5,0,engineering,Professional,3,82988,24412,Germany,0,0,0,0,1,0
S031,3.41,6.5,1,computer science,Professional,4,137379,29990,Australia,1,0,0,1,0,0
S032,2.76,7.5,0,business,Professional,0,85388,53001,Germany,0,0,1,0,0,0
S033,2.6,6.0,0,computer science,Leadership,3,95768,59649,United States,0,0,0,1,0,0
S034,3.92,5.5,1,medicine,Sports,5,40428,37517,Australia,0,0,0,0,0,1
S035,3.95,8.0,0,engineering,Professional,1,97021,15156,Canada,1,0,0,0,1,0
S036,3.71,6.5,0,arts,Professional,5,123418,25064,United States,1,1,0,0,0,0
S037,2.96,6.5,0,engineering,Leadership,2,137212,27711,United Kingdom,0,0,0,0,1,0
S038,2.65,5.5,0,medicine,Leadership,3,31421,32106,Germany,0,0,0,0,0,1
S039,3.53,7.5,1,engineering,Professional,3,6708,18589,United States,1,0,0,0,1,0
S040,3.16,5.5,0,engineering,STEM,0,139702,25736,United States,0,0,0,0,1,0
S041,2.68,6.0,0,medicine,Professional,2,81021,22975,Australia,0,0,0,0,0,1
S042,3.24,5.5,0,engineering,Professional,1,49789,38218,Australia,0,0,0,0,1,0
S043,2.55,6.5,1,business,Leadership,3,31086,9214,Australia,0,0,1,0,0,0
S044,3.86,5.5,0,business,Leadership,3,21859,32581,United Kingdom,0,0,1,0,0,0
S045,2.89,7.5,1,engineering,Professional,0,12684,22195,Australia,0,0,0,0,1,0
S046,3.49,8.0,0,arts,Professional,4,96088,46582,United States,1,1,0,0,0,0
S047,2.97,7.0,1,medicine,Professional,1,137279,29127,Australia,0,0,0,0,0,1
S048,3.28,5.5,1,business,Leadership,5,51099,7141,Canada,0,0,1,0,0,0
S049,3.32,7.5,1,arts,Professional,2,71093,30884,Australia,1,1,0,0,0,0
S050,2.78,7.5,1,engineering,Professional,3,53651,26885,United Kingdom,0,0,0,0,1,0
S051,3.95,8.0,0,arts,Arts,3,18893,4708,Canada,1,1,0,0,0,0
S052,3.66,6.5,0,computer science,STEM,5,71418,20375,United States,1,0,0,1,0,0
S053,3.91,7.5,0,business,Sports,1,130074,17088,United States,1,0,1,0,0,0
S054,3.84,7.5,0,engineering,STEM,4,108065,59615,Germany,1,0,0,0,1,0
S055,3.4,7.5,0,medicine,Arts,3,135351,46602,Canada,1,0,0,0,0,1
S056,3.88,7.5,0,engineering,Sports,1,43635,47046,Germany,1,0,0,0,1,0
S057,2.63,6.0,0,medicine,Professional,5,100071,12014,Canada,0,0,0,0,0,1
S058,2.79,6.0,0,engineering,Arts,0,83518,5273,Canada,0,0,0,0,1,0
S059,2.57,6.5,1,arts,Professional,4,111233,49135,United Kingdom,0,1,0,0,0,0
S060,2.99,5.5,0,arts,Leadership,2,108651,39306,Germany,0,1,0,0,0,0
S061,3.08,7.5,1,arts,Arts,3,77805,32881,United Kingdom,1,1,0,0,0,0
S062,2.91,8.0,1,computer science,Leadership,1,127813,33486,Canada,0,0,0,1,0,0
S063,3.74,5.5,1,medicine,Arts,0,84063,14541,United States,0,0,0,0,0,1
S064,3.04,8.0,0,arts,Arts,2,7454,10712,Canada,0,1,0,0,0,0
S065,2.92,5.5,1,computer science,Leadership,1,25878,11168,United Kingdom,0,0,0,1,0,0
S066,3.31,6.5,1,medicine,Sports,1,149063,54874,Germany,1,0,0,0,0,1
S067,2.71,7.5,1,engineering,STEM,2,73344,5551,Germany,0,0,0,0,1,0
S068,3.7,7.5,0,computer science,Professional,0,109946,14297,United Kingdom,0,0,0,1,0,0
S069,2.61,7.0,0,business,Arts,5,41593,45733,Germany,0,0,1,0,0,0
S070,3.98,8.0,0,computer science,Professional,0,41304,29128,Australia,1,0,0,1,0,0
S071,3.66,5.5,0,computer science,Leadership,4,118613,4832,United States,0,0,0,1,0,0
S072,2.8,5.5,0,medicine,Professional,3,23354,30483,United States,0,0,0,0,0,1
S073,2.51,6.0,1,engineering,Leadership,2,27190,24063,United States,0,0,0,0,1,0
S074,3.72,7.0,1,business,Professional,5,11142,24963,Germany,1,0,1,0,0,0
S075,3.56,6.0,0,arts,STEM,2,46862,15422,Germany,0,1,0,0,0,0
S076,3.59,6.0,1,arts,STEM,2,130438,34920,Canada,1,1,0,0,0,0
S077,3.66,6.0,0,computer science,STEM,0,53456,56906,Canada,1,0,0,1,0,0
S078,2.61,8.0,1,medicine,STEM,3,105167,13156,United States,0,0,0,0,0,1
S079,3.04,8.0,1,medicine,STEM,4,87035,13108,Australia,0,0,0,0,0,1
S080,2.67,6.5,0,arts,STEM,1,13016,33845,Canada,0,1,0,0,0,0
S081,3.79,6.5,0,business,Leadership,1,7384,4800,Canada,1,0,1,0,0,0
S082,3.43,6.0,1,engineering,Arts,2,107239,40078,Germany,1,0,0,0,1,0
S083,3.0,7.0,0,business,Professional,3,116431,44712,Australia,1,0,1,0,0,0
S084,2.6,5.5,0,engineering,STEM,5,85018,4610,United States,0,0,0,0,1,0
