university_name,country,degree_level,programs_offered,qs_ranking,min_gpa,min_gre,Ielts_requirement,tuition_fee,acceptance_rate,research_focus,scholarship_available,max_coverage_percent,research_weight,eca_weight,living_cost,total_cost_estimated,work_visa_available,agriculture,architecture,arts,arts_&_humanities,astronomy,biology,biotech,business,chemistry,cinema,computer_science,computing,design,economics,education,energy,engineering,environmental_science,environmental_studies,film_&_media,game_design,hotel_management,humanities,informatics,international_affairs,international_relations,journalism,law,life_sciences,management,marine_sciences,materials,materials_science,mathematics,medicine,meteorology,natural_sciences,physical_sciences,physics,politics,public_affairs,public_health,public_policy,robotics,sciences,social_sciences,theology,tourism,wind_energy,mechanical_engineering,electrical_engineering,civil_engineering,chemical_engineering,aerospace_engineering,biomedical_engineering,industrial_engineering
University of Oxford,United Kingdom,Graduate,"computer science, engineering, medicine, law, economics, humanities",4,3.7,,7.0,45000,17.5,"Humanities & Social Sciences, Biomedical Sciences, Climate & Environmental Science, AI & Quantum",1,100,5,5,17907,62907,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,0
Massachusetts Institute of Technology,United States,Graduate,"engineering, computer science, physics, biology, management, architecture",1,3.8,325.0,7.0,59000,4.0,"AI & Machine Learning, Robotics, Biotechnology, Quantum Computing, Sustainable Energy",1,100,5,5,14993,73993,1,0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,1,0,1
Harvard University,United States,Graduate,"medicine, law, business, social sciences, biology, public policy",5,3.8,322.0,7.0,54000,3.2,"Biomedical Research, Global Health, Economics, AI Ethics & Policy",1,100,5,5,10603,64603,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0
Princeton University,United States,Graduate,"physics, mathematics, economics, politics, engineering, public affairs",22,3.9,320.0,7.0,59000,5.7,"Theoretical Physics, Macroeconomics, Public Policy, Quantum Science",1,100,5,5,13802,72802,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,1,1,0,0,0.0,0,0,0,0,0,1,1,1,0,0,1,0
University of Cambridge,United Kingdom,Graduate,"engineering, medicine, computer science, natural sciences, law, business",6,3.7,,7.0,42000,21.0,"Astrophysics, Biosciences, History & Archaeology, Materials Science",1,100,5,5,10623,52623,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,1,0,0
Stanford University,United States,Graduate,"computer science, engineering, business, medicine, law, humanities",3,3.8,325.0,7.0,57000,3.9,"AI & Entrepreneurship, Biotech & Genomics, Sustainable Energy, Neuroscience",1,100,5,5,10575,67575,1,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,0
California Institute of Technology,United States,Graduate,"physics, engineering, biology, chemistry, computer science",10,3.9,330.0,7.0,63000,3.0,"Space Science & Astronomy, Quantum Physics, Neuroscience, Materials Science",1,100,5,5,19137,82137,0,0,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,1,1,1
"University of California, Berkeley",United States,Graduate,"computer science, engineering, business, economics, physics, environmental science",12,3.7,320.0,6.5,34000,11.6,"AI & Data Science, Renewable Energy, Social Justice & Policy, Neuroscience",1,100,5,5,18184,52184,1,0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,0,1,1
Imperial College London,United Kingdom,Graduate,"engineering, medicine, computer science, business, physics",2,3.7,,7.0,48000,11.0,"AI & Data Science, Climate Change, Biomedical Engineering, Materials",1,100,5,5,8353,56353,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,1,1,1
Yale University,United States,Graduate,"law, medicine, business, environmental studies, arts & humanities",16,3.8,322.0,7.0,59000,4.6,"Public Health, Climate Science, Law & Policy, Global Affairs",1,100,5,5,13893,72893,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
