university_name,country,city,qs_ranking,degree_level,programs_offered,fields,min_gpa,gre_required,min_gre,ielts_min,toefl_min,duolingo_min,research_weight,research_focus,has_thesis_option,eca_weight,tuition_fee,living_cost,total_cost_estimated,scholarship_available,max_coverage_percent,work_visa_available,deadline_fall,deadline_spring,acceptance_rate,bd_admit_count_3yr,last_updated,source_url
University of Oxford,United Kingdom,,4,Graduate,"computer science, engineering, medicine, law, economics, humanities","computer science, economics, engineering, humanities, law, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.7,0,,7.0,94,120,5.0,"Humanities & Social Sciences, Biomedical Sciences, Climate & Environmental Science, AI & Quantum",1,5,45000,17907,62907,1,100,1,January 20,,17.5,,2026-04-29,
Massachusetts Institute of Technology,United States,,1,Graduate,"engineering, computer science, physics, biology, management, architecture","architecture, biology, computer science, engineering, management, physics, mechanical engineering, electrical engineering, chemical engineering, aerospace engineering, industrial engineering",3.8,1,325.0,7.0,94,120,5.0,"AI & Machine Learning, Robotics, Biotechnology, Quantum Computing, Sustainable Energy",1,5,59000,14993,73993,1,100,1,December 15,,4.0,,2026-04-29,
Harvard University,United States,,5,Graduate,"medicine, law, business, social sciences, biology, public policy","biology, business, law, medicine, public policy, social sciences",3.8,1,322.0,7.0,94,120,5.0,"Biomedical Research, Global Health, Economics, AI Ethics & Policy",1,5,54000,10603,64603,1,100,0,December 15,,3.2,,2026-04-29,
Princeton University,United States,,22,Graduate,"physics, mathematics, economics, politics, engineering, public affairs","economics, engineering, mathematics, physics, politics, public affairs, mechanical engineering, electrical engineering, civil engineering, biomedical engineering",3.9,1,320.0,7.0,94,120,5.0,"Theoretical Physics, Macroeconomics, Public Policy, Quantum Science",1,5,59000,13802,72802,1,100,0,December 15,,5.7,,2026-04-29,
University of Cambridge,United Kingdom,,6,Graduate,"engineering, medicine, computer science, natural sciences, law, business","business, computer science, engineering, law, medicine, natural sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering",3.7,0,,7.0,94,120,5.0,"Astrophysics, Biosciences, History & Archaeology, Materials Science",1,5,42000,10623,52623,1,100,0,January 7,,21.0,,2026-04-29,
Stanford University,United States,,3,Graduate,"computer science, engineering, business, medicine, law, humanities","business, computer science, engineering, humanities, law, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.8,1,325.0,7.0,94,120,5.0,"AI & Entrepreneurship, Biotech & Genomics, Sustainable Energy, Neuroscience",1,5,57000,10575,67575,1,100,1,December 1,,3.9,,2026-04-29,
California Institute of Technology,United States,,10,Graduate,"physics, engineering, biology, chemistry, computer science","biology, chemistry, computer science, engineering, physics, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, biomedical engineering, industrial engineering",3.9,1,330.0,7.0,94,120,5.0,"Space Science & Astronomy, Quantum Physics, Neuroscience, Materials Science",1,5,63000,19137,82137,1,100,0,December 15,,3.0,,2026-04-29,
"University of California, Berkeley",United States,,12,Graduate,"computer science, engineering, business, economics, physics, environmental science","business, computer science, economics, engineering, environmental science, physics, mechanical engineering, electrical engineering, chemical engineering, biomedical engineering, industrial engineering",3.7,1,320.0,6.5,79,110,5.0,"AI & Data Science, Renewable Energy, Social Justice & Policy, Neuroscience",1,5,34000,18184,52184,1,100,1,December 8,,11.6,,2026-04-29,
Imperial College London,United Kingdom,,2,Graduate,"engineering, medicine, computer science, business, physics","business, computer science, engineering, medicine, physics, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, biomedical engineering, industrial engineering",3.7,0,,7.0,94,120,5.0,"AI & Data Science, Climate Change, Biomedical Engineering, Materials",1,5,48000,8353,56353,1,100,0,March 31,,11.0,,2026-04-29,
Yale University,United States,,16,Graduate,"law, medicine, business, environmental studies, arts & humanities","arts and humanities, business, environmental studies, law, medicine",3.8,1,322.0,7.0,94,120,5.0,"Public Health, Climate Science, Law & Policy, Global Affairs",1,5,59000,13893,72893,1,100,0,January 2,,4.6,,2026-04-29,
ETH Zurich,Switzerland,,7,Graduate,"engineering, computer science, physics, mathematics, biology","biology, computer science, engineering, mathematics, physics, mechanical engineering, electrical engineering, civil engineering, biomedical engineering, industrial engineering",3.6,1,315.0,6.5,79,110,5.0,"Robotics & AI, Quantum Technologies, Climate & Sustainability, Materials Science",1,3,1800,9989,11789,1,100,1,December 15,,27.0,,2026-04-29,
Tsinghua University,China,,14,Graduate,"engineering, computer science, business, economics, architecture","architecture, business, computer science, economics, engineering, mechanical engineering, electrical engineering, chemical engineering",3.7,1,320.0,6.5,79,110,5.0,"AI & Advanced Manufacturing, Renewable Energy, Biotech, Urban Planning",1,3,28000,12889,40889,1,100,0,March 15,,6.0,,2026-04-29,
Peking University,China,,18,Graduate,"medicine, law, business, social sciences, humanities","business, humanities, law, medicine, social sciences",3.7,1,318.0,6.5,79,110,5.0,"Biomedical Research, International Relations, Economics, AI Ethics",1,3,25000,16865,41865,1,100,1,March 1,,7.0,,2026-04-29,
The University of Chicago,United States,,11,Graduate,"business, economics, law, social sciences, physical sciences","business, economics, law, physical sciences, social sciences",3.8,1,325.0,7.0,94,120,5.0,"Economics & Finance, Public Policy, Quantum Science, Biomedical",1,5,62000,8399,70399,1,100,1,January 4,,5.4,,2026-04-29,
University of Pennsylvania,United States,,12,Graduate,"business, medicine, law, engineering, social sciences","business, engineering, law, medicine, social sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.8,1,322.0,7.0,94,120,2.0,"Healthcare Innovation, Finance & Entrepreneurship, Neuroscience, Social Policy",0,5,57000,19447,76447,1,100,0,December 15,,6.5,,2026-04-29,
Johns Hopkins University,United States,,16,Graduate,"medicine, public health, engineering, biology, international relations","biology, engineering, international relations, medicine, public health, mechanical engineering, electrical engineering, civil engineering",3.7,1,325.0,7.0,94,120,5.0,"Biomedical Research, Global Health, AI in Medicine, Neuroscience",1,5,61000,8101,69101,1,100,1,December 15,October 15,6.3,,2026-04-29,
